Species,Servings for Women 18-49 Years and Children 1-17 Years,Servings for Women 50 Years and Older and Men 18 Years and Older
California Corbina,1,1
Queenfish,2,4
Top Smelt,2,6
Yellowfin Croaker,2,4
Barred Sand Bass,1,2
Kelp Bass,1,2
White Croaker,2,4
Rosy Rockfish,1,4
Blue Rockfish,1,4
Vermilion Rockfish,1,4
Olive Rockfish,1,4
Brown Rockfish,1,4
Gopher Rockfish,0,1
Kelp Rockfish,1,4
Copper Rockfish,0,1
Black Perch,2,6
Shiner Surfperch,2,2
Walleye Surfperch,2,2
Barred Surfperch,2,6
Rainbow Surfperch,2,6
Pile Surfperch,2,6
White Surfperch,2,6
Diamond Turbot,6,6
Longfin Sanddab,6,6
Speckled Sanddab,6,6
Spotted Turbot,6,6
Brown Smooth-Hound Shark,0,1
Gray Smoothhound Shark,0,1