"","CompositeCommonName","scientific_name","Family","trophic_category","feeding_position"
"1","white croaker","Genyonemus lineatus","Sciaenidae","Secondary Carnivore","Benthopelagic"
"2","spotted sand bass","Paralabrax maculatofasciatus","Serranidae","Tertiary Carnivore","Benthopelagic"
"3","shiner surfperch","Cymatogaster aggregata","Embiotocidae","Primary Carnivore","Midwater"
"4","walleye surfperch","Hyperprosopon argenteum","Embiotocidae","Secondary Carnivore","Midwater"
"5","barred surfperch","Amphistichus argenteus","Embiotocidae","Secondary Carnivore","Benthopelagic"
"6","queenfish","Seriphus politus","Sciaenidae","Secondary Carnivore","Midwater"
"7","diamond turbot","Pleuronichthys guttulatus","Pleuronectidae","Secondary Carnivore","Benthic"
"8","quillback rockfish","Sebastes maliger","Sebastidae","Secondary Carnivore","Benthopelagic"
"9","kelp bass","Paralabrax clathratus","Serranidae","Secondary Carnivore","Midwater"
"10","black perch","Embiotica jacksoni",NA,"Primary Carnivore","Benthopelagic"
"11","rainbow surfperch","Hypsurus caryi","Embiotocidae","Primary Carnivore","Benthopelagic"
"12","yellowfin croaker","Umbrina roncador","Sciaenidae","Secondary Carnivore","Benthopelagic"
"13","rosy rockfish","Sebastes helvomaculatus","Sebastidae","Secondary Carnivore","Benthopelagic"
"14","canary rockfish","Sebastes pinniger","Sebastidae","Secondary Carnivore","Midwater"
"15","opaleye","Girella nigricans","Girellidae","Herbivore","Benthopelagic"
"16","pile surfperch","Phanerodon vacca","Embiotocidae","Secondary Carnivore","Benthopelagic"
"17","barred sand bass","Paralabrax nebulifer","Serranidae","Tertiary Carnivore","Benthopelagic"
"18","california corbina","Menticirrhus undulatus","Sciaenidae","Secondary Carnivore","Benthopelagic"
"19","white surfperch","Phanerodon furcatus","Embiotocidae","Secondary Carnivore","Benthopelagic"
"20","california halibut","Paralichthys californicus","Paralichthyidae","Tertiary Carnivore","Benthic"
"21","yellowtail rockfish","Sebastes flavidus","Sebastidae","Secondary Carnivore","Midwater"
"22","jacksmelt","Atherinopsis californiensis","Atherinopsidae","Secondary Carnivore","Midwater"
"23","striped mullet","Mugil cephalus","Mugilidae","Herbivore","Midwater"
"24","top smelt","Atherinops affinis","Atherinopsidae","Primary Carnivore","Midwater"
"25","spotted turbot","Pleuronichthys ritteri","Pleuronectidae","Secondary Carnivore","Benthic"
"26","chub mackerel","Scomber japonicus","Scombridae","Secondary Carnivore","Pelagic"
"27","california lizardfish","Synodus lucioceps","Synodontidae","Tertiary Carnivore","Benthic"
"28","gray smoothhound shark","Mustelus californicus","Triakidae","Secondary Carnivore","Benthopelagic"
"29","shovelnose guitarfish","Rhinobatos productus",NA,"Secondary Carnivore","Benthic"
"30","leopard shark","Triakis semifasciata","Triakidae","Tertiary Carnivore","Benthopelagic"
"31","brown smooth-hound shark","Mustelus henlei","Triakidae","Secondary Carnivore","Benthopelagic"
"32","longfin sanddab","Citharichthys xanthostigma","Cyclopsettidae","Secondary Carnivore","Benthic"
"33","halfmoon","Medialuna californiensis","Scorpididae","Herbivore","Midwater"
"34","pacific sardine","Sardinops sagax","Alosidae","Primary Carnivore","Pelagic"
"35","speckled sanddab","Citharichthys stigmaeus","Cyclopsettidae","Secondary Carnivore","Benthic"
"36","spotfin croaker","Roncador stearnsii","Sciaenidae","Secondary Carnivore","Benthopelagic"
"37","california sheephead","Semicossyphus pulcher","Labridae","Secondary Carnivore","Benthopelagic"
"38","california scorpionfish","Scorpaena guttata","Scorpaenidae","Tertiary Carnivore","Benthic"
"39","ocean whitefish","Caulolatilus princeps","Latilidae","Tertiary Carnivore","Benthopelagic"
"40","fantail sole","Xystreurys liolepis","Paralichthyidae","Secondary Carnivore","Benthic"
"41","blue rockfish","Sebastes mystinus","Sebastidae","Primary Carnivore","Midwater"
"42","hornyhead turbot","Pleuronichthys verticalis","Pleuronectidae","Secondary Carnivore","Benthic"
"43","vermilion rockfish","Sebastes miniatus","Sebastidae","Secondary Carnivore","Benthopelagic"
"44","olive rockfish","Sebastes serranoides","Sebastidae","Secondary Carnivore","Midwater"
"45","brown rockfish","Sebastes auriculatus","Sebastidae","Tertiary Carnivore","Benthopelagic"
"46","gopher rockfish","Sebastes carnatus","Sebastidae","Secondary Carnivore","Benthopelagic"
"47","kelp rockfish","Sebastes atrovirens","Sebastidae","Secondary Carnivore","Midwater"
"48","black croaker","Cheilotrema saturnum","Sciaenidae","Secondary Carnivore","Benthopelagic"
"49","spiny dogfish","Squalus acanthias","Squalidae","Tertiary Carnivore","Benthopelagic"
"50","pacific barracuda","Sphyraena argentea","Sphyraenidae","Tertiary Carnivore","Pelagic"
"51","northern anchovy","Engraulis mordax","Engraulidae","Primary Carnivore","Pelagic"
"52","slough anchovy","Anchoa delicatissima","Engraulidae","Primary Carnivore","Pelagic"
"53","market squid","Doryteuthis opalescens",NA,"Primary Carnivore","Pelagic"
"54","copper rockfish","Sebastes caurinus","Sebastidae","Tertiary Carnivore","Benthopelagic"
"55","starry rockfish","Sebastes constellatus","Sebastidae","Secondary Carnivore","Benthopelagic"
"56","flag rockfish","Sebastes rubrivinctus","Sebastidae","Secondary Carnivore","Benthopelagic"
"57","greenspotted rockfish","Sebastes chlorostictus","Sebastidae","Secondary Carnivore","Benthopelagic"
"58","speckled rockfish","Sebastes ovalis","Sebastidae","Secondary Carnivore","Benthopelagic"
"59","squarespot rockfish","Sebastes hopkinsi","Sebastidae","Secondary Carnivore","Midwater"
"60","greenblotched rockfish","Sebastes rosenblatti","Sebastidae","Secondary Carnivore","Benthopelagic"
"61","chilipepper rockfish","Sebastes goodei","Sebastidae","Secondary Carnivore","Midwater"
