DDT90,Name
292.844321,Catalina Island
16.3909537,Northern Channel Islands
1.34093091,TJ to North Island
6.66785068,SD South Bay
3.70086388,SD North Bay
0.55271019,Pt Loma
0.82586159,Mission Bay
0.29940069,Pt Loma to La Jolla
0.80753516,La Jolla to San Onofre
3.31037812,San Onofre to Crystal Cove
2.25751458,Dana Point Harbor
15.2603839,Crystal Cove to Santa Ana River
2.00626045,Oceanside Harbor
23.2400889,Newport Bay
10.4553484,Santa Ana River to Seal Beach
8.99863139,Orange County Oil Platforms
49.0429252,Long Beach
134.987468,San Pedro Bay
1880.50883,Palos Verdes
105.963562,South Santa Monica Bay
15.0662433,Middle Santa Monica Bay
32.5825238,North Santa Monica Bay
17.7513015,Pt Dume to Oxnard
6.40400526,Ventura to Rincon
9.83241306,Santa Barbara Channel Oil Platform
7.29371102,Rincon to Goleta
13.0294422,Santa Barbara Coast
16.264433,657
6.58221486,664
9.36136405,665
32.7994898,679
16.8398863,681
21.2837632,682
15.5105205,683
18.31663,686
13.4924341,687
105.963562,701
25.7382286,708
17.151051,709
24.1772854,718
758.745796,719
2529.25413,720
5.08550639,737
14.0946607,738
11.3937975,739
4.84868655,757
242.541663,762
1.5862797,801
1.68400978,802
17.7723243,806
28.4825968,807
NA,849
NA,850
10.4326839,859